VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
2852,2852,Tr Hawai'i Introduced Coastal Wetland Vegetation - Tree,255,105,46,1,0.41176,0.18039
2853,2853,Sh Hawai'i Introduced Coastal Wetland Vegetation - Shrub,255,105,46,1,0.41176,0.18039
2854,2854,He Hawai'i Introduced Coastal Wetland Vegetation - Herbaceous,255,105,46,1,0.41176,0.18039
2855,2855,Tr Hawai'i Managed Tree Plantation,158,67,14,0.6196,0.26274,0.0549
2856,2856,Tr Pacific Islands Plantation Forest,158,67,14,0.6196,0.26274,0.0549
2857,2857,Tr Tropical Pacific Forest Plantation,158,67,14,0.6196,0.26274,0.0549
2858,2858,Tr Hawaiian Ruderal Mangrove,0,237,0,0,1,0
2859,2859,He Hawaiian Ruderal Coastal Salt Marsh,255,105,46,1,0,0
2860,2860,Bau Caribbean High-medium density urban,52,52,52,0.20392,0.20392,0.20392
2861,2861,Bau Caribbean Low-medium density urban,52,52,52,0.20392,0.20392,0.20392
2862,2862,Dab Caribbean Herbaceous agriculture - cultivated lands,255,235,153,1,0.92156,0.6
2863,2863,Dab Caribbean Active sun coffee and mixed woody agriculture,203,255,171,0.79607,1,0.67058
2864,2864,"Dab Caribbean Pasture, hay or inactive agriculture",255,210,119,1,0.82352,0.46666
2865,2865,"Dab Caribbean Pasture, hay or other grassy areas",255,210,119,1,0.82352,0.46666
2866,2866,Tr Caribbean Drought deciduous open woodland,131,222,110,0.51372,0.87058,0.43137
2867,2867,Tr Caribbean Drought deciduous dense woodland,121,217,207,0.47451,0.85098,0.81176
2868,2868,"Tr Caribbean Deciduous, evergreen coastal and mixed forest or shrubland with succulents",180,255,148,0.70588,1,0.58039
2869,2869,Tr Caribbean Semi-deciduous and drought deciduous forest on alluvium and non-carbonate substrates,191,255,233,0.74902,1,0.91372
2870,2870,Tr Caribbean Semi-deciduous and drought deciduous forest on karst (includes semi-evergreen forest),121,217,207,0.47451,0.85098,0.81176
2871,2871,"Tr Caribbean Drought deciduous, semi-deciduous and seasonal evergreen forest on serpentine",0,222,0,0,0.87058,0
2872,2872,Tr Caribbean Seasonal evergreen and semi-deciduous forest on karst,96,255,71,0.37647,1,0.27843
2873,2873,Tr Caribbean Seasonal evergreen and evergreen forest,0,51,0,0,0.2,0
2874,2874,Tr Caribbean Seasonal evergreen forest with coconut palm,180,255,148,0.70588,1,0.58039
2875,2875,Tr Caribbean Evergreen and seasonal evergreen forest on karst,174,245,224,0.68235,0.96078,0.87843
2876,2876,Tr Caribbean Evergreen forest on serpentine,0,92,0,0,0.36078,0
2877,2877,"Tr Caribbean Elfin, sierra palm, transitional and tall cloud forest",174,245,224,0.68235,0.96078,0.87843
2878,2878,Sh Caribbean Emergent wetlands including seasonnally flooded pasture,255,210,119,1,0.82352,0.46666
2879,2879,Sps Caribbean Salt or mud flats,100,100,100,0.39215,0.39215,0.39215
2880,2880,Tr Caribbean Mangrove,0,237,0,0,0.92941,0
2881,2881,Tr Caribbean Seasonally flooded savannahs and woodlands,156,128,92,0.61176,0.50196,0.36078
2882,2882,Tr Caribbean Pterocarpus swamp,255,235,153,1,0.92156,0.6
2883,2883,Sh Caribbean Tidally flooded evergreen dwarf-shrubland and forb vegetation,112,82,57,0.43921,0.32156,0.22352
2884,2884,Sh Caribbean & Mesoamerican Lowland Ruderal Grassland & Shrubland,145,255,115,0.56862,1,0.45098
2885,2885,Tr Caribbean Forest Plantation,0,222,0,0,0.87058,0
2886,2886,Tr Caribbean Lowland Ruderal Rainforest,0,222,0,0,0.87058,0
2887,2887,Tr Caribbean Montane Ruderal Forest,0,222,0,0,0.87058,0
2888,2888,Tr Caribbean Ruderal Dry Forest,0,222,0,0,0.87058,0
2889,2889,He Caribbean Ruderal Freshwater Wet Meadow & Marsh,112,82,57,0.43921,0.32156,0.22352
2890,2890,Tr Tropical Agroforestry Plantation,0,222,0,0,0.87058,0
2892,2892,Sh Polynesian Ruderal Scrub & Herb Coastal Strand,255,105,46,1,0.41176,0.18039
2893,2893,Sh Polynesian Ruderal Subalpine-Montane Shrubland & Grassland,255,105,46,1,0,0
2894,2894,Tr Hawaiian Montane Ruderal Forest & Woodland,255,105,46,1,0,0
2895,2895,Tr Hawaiian Ruderal Flooded & Swamp Forest,255,105,46,1,0,0
2896,2896,He Hawaiian Ruderal Freshwater Wet Meadow & Marsh,255,105,46,1,0,0
2897,2897,Tr Polynesian Ruderal Dry Woodland & Scrub,255,105,46,1,0.41176,0.18039
2898,2898,Tr Polynesian Ruderal Lowland Rainforest,255,105,46,1,0.41176,0.18039
2899,2899,Sh Polynesian Ruderal Lowland Shrubland Grassland & Savanna,255,105,46,1,0.41176,0.18039
2901,2901,Bau Developed-Open Space,52,52,52,0,0,0
2902,2902,Bau Developed-Low Intensity,255,122,143,1,0,1
2903,2903,Bau Developed-Medium Intensity,253,44,79,1,0,0
2904,2904,Bau Developed-High Intensity,173,0,28,1,0,0
2905,2905,Bau Developed-Roads,1,1,1,0,0,0
2913,2913,Dtd Urban Deciduous Forest,112,68,137,0.43921,0.26666,0.53725
2914,2914,Dtc Urban Evergreen Forest,170,102,205,0.66666,0.4,0.80392
2915,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,194,158,215,0.76078,0.6196,0.84313
2916,2916,Dgr Urban Herbaceous,202,122,245,0.79215,0.47843,0.96078
2917,2917,Dsh Urban Shrubland,207,171,215,0.81176,0.67058,0.84313
2923,2923,Dtd Developed Ruderal Deciduous Forest,64,61,168,0.25098,0.23921,0.65882
2924,2924,Dtc Developed Ruderal Evergreen Forest,102,119,205,0.4,0.46666,0.80392
2925,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,68,79,137,0.26666,0.3098,0.53725
2926,2926,Dsh Developed Ruderal Shrubland,158,170,215,0.6196,0.66666,0.84313
2927,2927,Dgr Developed Ruderal Grassland,122,142,245,0.47843,0.55686,0.96078
2928,2928,Dtw Developed Ruderal Forested Wetland,68,79,137,0.26666,0.3098,0.53725
2929,2929,Dsw Developed Ruderal Shrub Wetland,158,170,215,0.6196,0.66666,0.84313
2930,2930,Dhw Developed Ruderal Herbaceous Wetland,122,142,245,0.47843,0.55686,0.96078
2933,2933,Dtd Undeveloped Ruderal Deciduous Forest,255,190,232,1,0.74509,0.9098
2934,2934,Dtc Undeveloped Ruderal Evergreen Forest,255,0,197,1,0,0.77254
2935,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,255,115,223,1,0.45098,0.87451
2936,2936,Dsh Undeveloped Ruderal Shrubland,168,0,132,0.65882,0,0.51764
2937,2937,Dgr Undeveloped Ruderal Grassland,230,0,169,0.90196,0,0.66274
2943,2943,Dtd Developed Ruderal Deciduous Forested Wetland,68,79,137,0,0,1
2944,2944,Dtc Developed Ruderal Evergreen Forested Wetland,68,79,137,0.26666,0.3098,0.53725
2945,2945,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,68,79,137,0.26666,0.3098,0.53725
2946,2946,Dsh Developed Ruderal Shrub Wetland,158,170,215,0.6196,0.66666,0.84313
2947,2947,Dgr Developed Ruderal Herbaceous Wetland,122,142,245,0.47843,0.55686,0.96078
2960,2960,Dab Orchard,210,28,94,0.82352,0.1098,0.36862
2961,2961,Da Vineyard,168,0,132,0.65882,0,0.51764
2962,2962,Dab Bush Fruit and Berries,210,28,119,0.82352,0.1098,0.46666
2963,2963,Da Row Crop - Close Grown Crop,255,245,140,1,0.96078,0.54902
2964,2964,Da Row Crop,250,255,119,0.98039,1,0.46666
2965,2965,Da Close Grown Crop,255,237,119,1,0.92941,0.46666
2966,2966,Dab Fallow/Idle Cropland,255,255,119,1,1,0.46666
2967,2967,Dab Pasture and Hayland,227,212,28,0.89019,0.83137,0.1098
2968,2968,Da Wheat,250,227,163,0.98039,0.89019,0.63921
2969,2969,Da Aquaculture,210,255,237,0.82352,1,0.92941
2970,2970,Dab Sugar Cane,250,255,119,1,1,0
2972,2972,Tr Caribbean Coastal Dry Evergreen Forest,0,92,0,0,0.36078,0
2973,2973,Sps Caribbean Coastal Rocky Shore,100,100,100,0.39215,0.39215,0.39215
2974,2974,Sh Caribbean Coastal Thornscrub,145,255,115,0.56862,1,0.45098
2975,2975,Sh Caribbean Dry Karst Shrubland,145,255,115,0.56862,1,0.45098
2976,2976,"Tr Caribbean Edapho-Xerophilous ""Mogote"" Complex",96,255,71,0.37647,1,0.27843
2977,2977,He Caribbean Emergent Herbaceous Estuary,112,82,57,0.43921,0.32156,0.22352
2978,2978,Tr Caribbean Floodplain Forest,156,128,92,0.61176,0.50196,0.36078
2979,2979,He Caribbean Freshwater Marsh,112,82,57,0.43921,0.32156,0.22352
2980,2980,Tr Caribbean Lowland Moist Serpentine Woodland,0,222,0,0,0.87058,0
2981,2981,He Caribbean Montane Meadow,116,214,204,0.4549,0.83921,0.8
2982,2982,Tr Caribbean Montane Wet Elfin Forest,174,245,224,0.68235,0.96078,0.87843
2983,2983,Tr Caribbean Montane Wet Serpentine Woodland,0,222,0,0,0.87058,0
2984,2984,Sh Caribbean Montane Wet Short Shrubland,112,82,57,0.43921,0.32156,0.22352
2985,2985,Tr Caribbean Riparian Forest and Shrubland,156,128,92,0.61176,0.50196,0.36078
2986,2986,Sps Caribbean Salt Flat and Pond,100,100,100,0.39215,0.39215,0.39215
2987,2987,Sps Caribbean Sand Beach Vegetation,100,100,100,0.39215,0.39215,0.39215
2988,2988,Tr Caribbean Sand Savanna,131,222,110,0.51372,0.87058,0.43137
2989,2989,Tr Caribbean Seasonal Evergreen Lowland Forest,0,222,0,0,0.87058,0
2990,2990,Tr Caribbean Seasonal Evergreen Submontane/Lowland Forest,0,222,0,0,0.87058,0
2991,2991,Tr Caribbean Semi-deciduous Lowland Forest,180,255,148,0.70588,1,0.58039
2992,2992,Sh Caribbean Serpentine Dry Scrub,145,255,115,0.56862,1,0.45098
2993,2993,Tr Caribbean Submontane/Montane Karstic Forest,174,245,224,0.68235,0.96078,0.87843
2994,2994,Tr Caribbean Wet Montane Forest,156,128,92,0.61176,0.50196,0.36078
2995,2995,Tr Caribbean Wet Submontane/Lowland Forest,156,128,92,0.61176,0.50196,0.36078
2996,2996,Sps Stabilized Caribbean Dunes,100,100,100,0.39215,0.39215,0.39215
4408,4408,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,146,237,224,1,1,1
4411,4411,Sh Alaskan Pacific Acidic Shrub-Sedge Peatland,133,39,8,1,0,0
4412,4412,Sh Alaskan Pacific Alpine-Subalpine Dwarf-shrubland & Heath,212,129,34,1,0.505882,0.133333
4413,4413,Tr Alaskan Pacific Floodplain Conifer Forest,18,76,135,0,0,1
4418,4418,Tr Alaskan Pacific Maritime Mountain Hemlock-Shore Pine Peatland,133,39,8,1,0.152941,0.031373
4421,4421,Tr Alaskan Pacific Mountain Hemlock Forest and Subalpine Woodland ,0,92,0,0,0.360784,0
4423,4423,Tr Alaskan Pacific Sitka Spruce Forest and Beach Ridge,0,117,0,0,0,0
4424,4424,Sh Alaskan Pacific Wet Low Shrubland & Floodplain Wetland,255,153,0,1,1,0
4425,4425,Sh Alaskan Pacific-Aleutian Alder-Salmonberry-Copperbush Shrubland,146,237,224,1,1,1
4426,4426,He Alaskan Pacific-Aleutian Coastal Dune Beach and Beach Meadow,255,0,0,1,0,0
4427,4427,He Alaskan Pacific-Aleutian Fen and Wet Meadow,255,205,112,1,1,0
4429,4429,Sh Aleutian Ericaceous Dwarf-shrubland Heath and Fell-field,79,36,26,0,0,0
4435,4435,Sh North American Arctic Dryas Tundra,194,68,21,1,0.266667,0.082353
4436,4436,Sh North American Arctic Dwarf-Shrub Lichen Tundra,255,102,0,1,0,0
4437,4437,Sh North American Arctic Dwarf-shrub-Wet Sedge-Sphagnum Peatland,133,39,8,1,0,0
4438,4438,He North American Arctic Freshwater Marsh,255,153,0,1,1,0
4443,4443,Sh North American Arctic Polygonal Ground Shrub & Tussock Tundra,194,68,21,1,0.266667,0.082353
